Date,Open,High,Low,Close,Volume,Adj Close
2007-11-14,129.320011,129.579987,126.899998,127.640007,107700,37.015042
2007-11-13,124.76001,127.319996,123.879993,127.299992,219900,36.916439
2007-11-12,132.020016,132.020016,124.850006,124.880013,295800,36.214655
2007-11-09,133.100006,133.100006,130.250015,131.019985,162000,37.995221
2007-11-08,133.490009,135.140007,131.000015,133.359993,316800,38.673813
2007-11-07,135.999985,136.529995,132.429989,132.500015,276600,38.424423
2007-11-06,132.909988,136.149994,132.909988,136.080002,180300,39.462603
2007-11-05,132.999985,133.130013,131.199989,132.500015,141300,38.424423
2007-11-02,132.48999,133.599987,130.520016,133.599987,219900,38.74341
2007-11-01,132.48,134.199989,130.700008,131.330006,280200,38.085125
2007-10-31,132.189995,134.52,131.399998,134.319992,302400,38.952208
2007-10-30,133.490009,133.490009,130.589996,130.890003,229200,37.957526
2007-10-29,134.450008,134.900013,134.000015,134.660007,159000,39.050811
2007-10-26,132.980015,133.640007,132.450005,133.640007,149400,38.755015
2007-10-25,131.009995,131.949989,130.080002,131.810005,173400,38.224323
2007-10-24,129.099987,130.560001,128.000015,130.269985,229500,37.777724
2007-10-23,128.799992,129.770016,127.299992,129.770016,212700,37.632735
2007-10-22,126.920013,127.970009,125.859993,127.970009,307200,37.110741
2007-10-19,133.709999,133.709999,129.279991,129.279991,328500,37.49063
2007-10-18,133.589996,134.700005,133.130013,134.700005,465900,39.06241
2007-10-17,134.589993,134.790001,132.159988,133.599987,534900,38.74341
2007-10-16,133.830002,134.229984,133.080002,133.910007,130200,38.833314
2007-10-15,134.879997,135.21999,133.400013,134.319992,179400,38.952208
2007-10-12,132.620007,133.23,131.970005,132.870003,108000,38.531718
2007-10-11,133.50,134.73999,130.680004,132.159988,327000,38.325817
2007-10-10,130.220009,132.470009,129.509995,131.970005,252900,38.270722
2007-10-09,128.799992,130.799995,128.799992,130.77,181800,37.922726
2007-10-08,128.879997,129.290005,128.259991,128.499985,113400,37.264432
2007-10-05,129.459995,130.119987,128.73,129.959999,144900,37.687829
2007-10-04,128.160004,129.21999,126.669994,129.020016,167100,37.415238
2007-10-03,128.990009,128.990009,127.709999,128.199989,107700,37.177434
2007-10-02,129.890007,129.890007,127.76001,129.500015,593100,37.554436
2007-10-01,128.480015,130.709999,128.480015,130.400013,172500,37.815431
2007-09-28,130.130013,130.299992,128.349987,128.750015,137700,37.336939
2007-09-27,128.990009,129.410007,128.240009,129.299995,126000,37.496431
2007-09-26,128.990009,128.990009,126.140007,128.009995,231600,37.122337
2007-09-25,128.079987,128.079987,127.01001,128.079987,238800,37.091304
2007-09-24,130.290001,130.290001,128.939999,129.48,284400,37.496741
2007-09-21,129.729984,130.820011,129.729984,130.029991,161100,37.656016
2007-09-20,129.470009,129.560005,128.600006,129.380013,142200,37.467785
2007-09-19,129.440014,129.999985,128.180008,128.700005,274800,37.270858
2007-09-18,124.98,128.52,124.059986,128.319992,127500,37.160809
2007-09-17,124.589996,127.410004,123.849987,124.28001,396600,35.990851
2007-09-14,123.75,125.109993,123.75,124.610012,96900,36.086418
2007-09-13,123.699989,124.850006,123.699989,124.269985,143700,35.987948
2007-09-12,122.199989,123.689999,122.199989,123.129993,135000,35.657812
2007-09-11,120.890007,122.439995,119.859993,122.439995,291300,35.457992
2007-09-10,120.600002,121.130013,118.02,120.540001,205500,34.907763
2007-09-07,121.089993,121.460014,120.120003,121.299992,205800,35.127853
2007-09-06,122.540005,122.889988,121.649998,122.640003,197700,35.515913
2007-09-05,121.190014,121.439999,120.399994,121.190014,322500,35.096004
2007-09-04,119.289986,122.390007,119.100002,121.580006,464400,35.208943
2007-08-31,119.490005,119.769985,118.589996,119.000015,88500,34.461791
2007-08-30,116.51001,118.130013,116.51001,117.339993,151200,33.981057
2007-08-29,114.990005,117.699989,114.870003,117.639988,81600,34.067935
2007-08-28,115.98,116.270016,113.889988,114.21999,136800,33.077521
2007-08-27,117.279991,117.899998,116.480015,117.299995,423300,33.969474
2007-08-24,116.790001,118.359993,116.549995,118.299992,93900,34.259068
2007-08-23,116.990009,117.140007,114.789986,116.240009,222900,33.662508
2007-08-22,114.48,115.539986,114.459995,115.379997,186900,33.413453
2007-08-21,114.089996,114.890007,112.890003,113.499985,103500,32.869011
2007-08-20,114.099987,114.999985,112.430008,114.500015,173700,33.158615
2007-08-17,115.200005,115.200005,112.119987,114.009991,225000,33.016706
2007-08-16,110.289986,112.059986,106.539986,111.299995,898500,32.231905
2007-08-15,115.01001,116.169994,112.059986,112.209995,160500,32.495437
2007-08-14,117.999985,117.999985,115.299992,115.460014,142800,33.436625
2007-08-13,119.000015,119.229984,117.050011,117.050011,289800,33.89708
2007-08-10,113.300011,117.870003,113.000015,117.330002,283800,33.978164
2007-08-09,117.279991,119.319992,115.98999,116.330006,1296000,33.68857
2007-08-08,118.250015,120.980015,117.96999,119.970005,1195500,34.742695
2007-08-07,114.249985,117.930004,114.099987,117.189995,277500,33.937619
2007-08-06,114.800011,115.23999,111.870003,115.089993,971100,33.329469
2007-08-03,118.799995,119.700005,114.710014,114.710014,339900,33.219429
2007-08-02,119.799992,120.369987,117.380013,119.079987,258600,34.484951
2007-08-01,120.500015,121.160007,116.649994,119.370003,313500,34.568938
2007-07-31,122.139988,123.089996,120.099987,120.299995,506100,34.838259
2007-07-30,120.350006,121.250015,118.370007,120.779995,182700,34.977264
2007-07-27,121.200005,122.310001,118.389988,119.480015,247500,34.600797
2007-07-26,123.699989,124.130013,119.169994,121.610012,550500,35.217633
2007-07-25,124.950005,125.879997,122.289986,125.640003,346800,36.384698
2007-07-24,126.53001,126.75,123.860012,124.680004,200100,36.106687
2007-07-23,129.00,129.00,127.350002,127.880013,149400,37.033393
2007-07-20,129.390003,129.390003,127.359993,128.300011,138900,37.155022
2007-07-19,128.78001,129.149998,128.439995,129.080006,160500,37.380905
2007-07-18,125.580002,127.929989,125.330006,127.869987,187200,37.03049
2007-07-17,127.02,127.820011,125.289986,125.499985,208500,36.344149
2007-07-16,128.339996,128.339996,125.439995,126.440014,245100,36.616377
2007-07-13,127.509991,128.850002,127.400013,128.459999,213600,37.201354
2007-07-12,125.949989,127.23,125.949989,127.220009,296400,36.842259
2007-07-11,123.899998,124.790005,123.500015,124.689995,253200,36.10958
2007-07-10,124.359993,125.720009,123.759991,124.470005,134400,36.045872
2007-07-09,124.379997,125.52,124.179989,125.129997,176400,36.237003
2007-07-06,123.050011,124.179989,123.050011,123.800011,147300,35.851845
2007-07-05,122.300011,123.21999,121.430008,122.690014,297000,35.530396
2007-07-03,122.049992,122.640003,121.950005,122.499985,119400,35.475365
2007-07-02,120.800011,121.950005,120.230015,121.950005,170400,35.316093
2007-06-29,120.419998,120.959999,119.180008,119.840012,304200,34.70505
2007-06-28,120.849987,120.950008,119.120007,119.439995,266700,34.502327
2007-06-27,117.149998,119.810005,116.289986,119.799992,297300,34.606319
2007-06-26,121.100006,121.100006,117.830006,118.620003,405900,34.265458
2007-06-25,121.50,122.160004,119.750015,120.500015,529500,34.808533
2007-06-22,123.249985,124.490009,121.01001,122.189999,423600,35.296714
2007-06-21,121.520016,123.26001,121.140003,123.26001,668700,35.605805
2007-06-20,124.130013,124.439999,120.729984,120.950008,352800,34.938521
2007-06-19,124.200005,124.620003,123.129993,124.130013,253800,35.857121
2007-06-18,124.149994,124.509991,123.669994,124.169998,150900,35.868671
2007-06-15,123.149998,123.96999,123.149998,123.899998,148500,35.790677
2007-06-14,120.890007,122.399998,120.839996,122.370003,201000,35.348711
2007-06-13,118.190014,120.320011,118.190014,120.320011,96600,34.756535
2007-06-12,118.98,119.390007,117.759991,117.950008,413700,34.071919
2007-06-11,118.100006,119.810005,118.100006,119.279995,272700,34.456108
2007-06-08,117.350006,118.599987,115.830002,118.599987,185100,34.259676
2007-06-07,119.979984,120.660004,117.459995,117.549992,275700,33.956367
2007-06-06,120.999985,121.169998,119.630013,119.990009,276900,34.661208
2007-06-05,121.850006,122.100002,121.02,121.799995,489600,35.184055
2007-06-04,120.660004,122.390007,120.560005,122.330006,149400,35.337157
2007-06-01,120.00,120.999985,120.00,120.75,237300,34.880745
2007-05-31,119.960014,120.380013,119.000015,119.409988,315300,34.493659
2007-05-30,116.870007,119.559986,116.829987,119.52,125700,34.525438
2007-05-29,118.149994,118.259995,116.870007,117.48999,72300,33.939034
2007-05-25,117.870003,118.149994,117.249985,118.140003,93600,34.126802
2007-05-24,118.98,119.480015,116.259991,116.52,210900,33.658836
2007-05-23,119.060005,119.879997,118.640007,118.799995,197700,34.317452
2007-05-22,119.379993,119.640003,118.080002,118.250015,80400,34.158581
2007-05-21,119.060005,120.110012,118.589996,119.319992,236400,34.467662
2007-05-18,117.120003,118.200005,117.00,118.100006,115200,34.115248
2007-05-17,114.920013,117.00,114.299995,116.570011,247800,33.673282
2007-05-16,114.500015,114.980015,113.259991,114.980015,75900,33.213984
2007-05-15,114.410007,115.629993,114.180004,114.650013,421800,33.118657
2007-05-14,114.579987,114.999985,114.00,114.579987,83100,33.098429
2007-05-11,112.689995,114.459995,112.689995,114.459995,238800,33.063767
2007-05-10,114.039986,114.039986,111.870003,112.200005,292800,32.41093
2007-05-09,113.669998,114.170013,112.959995,114.050011,149700,32.945336
2007-05-08,113.570011,114.140007,112.620003,114.140007,96300,32.971333
2007-05-07,113.570011,114.209999,113.51001,114.159988,120600,32.977105
2007-05-04,113.700005,114.500015,112.950005,113.379993,150300,32.75179
2007-05-03,111.999985,113.259991,111.779995,113.000015,125700,32.642027
2007-05-02,110.970005,112.130013,110.829987,111.800011,116100,32.295384
2007-05-01,110.499985,110.759995,109.569992,110.679989,192900,31.971847
2007-04-30,111.879993,112.359993,110.430004,110.51001,83100,31.922745
2007-04-27,111.450005,112.250015,111.029995,111.930004,63900,32.332935
2007-04-26,111.729984,112.029991,110.919994,111.800011,92400,32.295384
