symbol= 159901, sharpRatio= 0.517230, cumret= 0.539490, maxDrawdown= -0.440809, maxDrawdownDuration= 346 
symbol= 159902, sharpRatio= 0.482758, cumret= 0.512484, maxDrawdown= -0.485764, maxDrawdownDuration= 346 
symbol= 159903, sharpRatio= 0.432757, cumret= 0.439926, maxDrawdown= -0.480661, maxDrawdownDuration= 346 
symbol= 159905, sharpRatio= 0.750231, cumret= 0.916784, maxDrawdown= -0.415413, maxDrawdownDuration= 346 
symbol= 159906, sharpRatio= 0.398758, cumret= 0.385373, maxDrawdown= -0.465496, maxDrawdownDuration= 346 
symbol= 159907, sharpRatio= 0.608947, cumret= 0.739822, maxDrawdown= -0.524233, maxDrawdownDuration= 346 
symbol= 159908, sharpRatio= 0.810823, cumret= 0.975833, maxDrawdown= -0.408420, maxDrawdownDuration= 346 
symbol= 159909, sharpRatio= 0.458915, cumret= 0.497608, maxDrawdown= -0.548442, maxDrawdownDuration= 353 
symbol= 159910, sharpRatio= 0.819761, cumret= 1.001697, maxDrawdown= -0.402789, maxDrawdownDuration= 346 
symbol= 159911, sharpRatio= 0.449835, cumret= 0.472275, maxDrawdown= -0.509318, maxDrawdownDuration= 346 
symbol= 159912, sharpRatio= 0.542673, cumret= 0.595727, maxDrawdown= -0.486672, maxDrawdownDuration= 346 
symbol= 159913, sharpRatio= 0.652449, cumret= 0.747653, maxDrawdown= -0.438555, maxDrawdownDuration= 346 
symbol= 159915, sharpRatio= 0.617850, cumret= 0.847603, maxDrawdown= -0.564195, maxDrawdownDuration= 353 
symbol= 159916, sharpRatio= 0.809156, cumret= 0.992254, maxDrawdown= -0.387973, maxDrawdownDuration= 346 
symbol= 159917, sharpRatio= 1.134804, cumret= 0.827789, maxDrawdown= -0.332948, maxDrawdownDuration= 220 
symbol= 159918, sharpRatio= 0.711034, cumret= 0.956781, maxDrawdown= -0.559975, maxDrawdownDuration= 346 
symbol= 159919, sharpRatio= 0.602451, cumret= 0.652951, maxDrawdown= -0.459010, maxDrawdownDuration= 350 
symbol= 159920, sharpRatio= 0.259920, cumret= 0.212430, maxDrawdown= -0.283634, maxDrawdownDuration= 378 
symbol= 159921, sharpRatio= 0.505568, cumret= 0.538100, maxDrawdown= -0.493156, maxDrawdownDuration= 346 
symbol= 159922, sharpRatio= 0.708002, cumret= 0.918612, maxDrawdown= -0.540757, maxDrawdownDuration= 346 
symbol= 159923, sharpRatio= 0.569989, cumret= 0.599512, maxDrawdown= -0.434851, maxDrawdownDuration= 350 
symbol= 159924, sharpRatio= 0.582485, cumret= 0.643836, maxDrawdown= -0.497041, maxDrawdownDuration= 346 
symbol= 159925, sharpRatio= 0.592968, cumret= 0.640621, maxDrawdown= -0.464988, maxDrawdownDuration= 350 
symbol= 159927, sharpRatio= 0.517304, cumret= 0.526718, maxDrawdown= -0.469465, maxDrawdownDuration= 350 
symbol= 159928, sharpRatio= 0.485070, cumret= 0.474927, maxDrawdown= -0.428121, maxDrawdownDuration= 346 
symbol= 159929, sharpRatio= 0.458949, cumret= 0.451213, maxDrawdown= -0.458741, maxDrawdownDuration= 346 
symbol= 159930, sharpRatio= -0.088971, cumret= -0.132721, maxDrawdown= -0.554711, maxDrawdownDuration= 349 
symbol= 159931, sharpRatio= 0.529552, cumret= 0.552272, maxDrawdown= -0.428219, maxDrawdownDuration= 350 
symbol= 159932, sharpRatio= 0.567901, cumret= 0.623000, maxDrawdown= -0.521515, maxDrawdownDuration= 346 
symbol= 159933, sharpRatio= 0.602819, cumret= 0.650400, maxDrawdown= -0.424297, maxDrawdownDuration= 350 
symbol= 159935, sharpRatio= 0.672316, cumret= 0.725400, maxDrawdown= -0.532790, maxDrawdownDuration= 346 
symbol= 159936, sharpRatio= 0.690629, cumret= 0.595700, maxDrawdown= -0.519450, maxDrawdownDuration= 346 
symbol= 159937, sharpRatio= 0.124802, cumret= 0.069300, maxDrawdown= -0.164649, maxDrawdownDuration= 261 
symbol= 159938, sharpRatio= 0.540394, cumret= 0.337100, maxDrawdown= -0.475033, maxDrawdownDuration= 346 
symbol= 159939, sharpRatio= 0.392570, cumret= 0.199900, maxDrawdown= -0.579263, maxDrawdownDuration= 353 
symbol= 159940, sharpRatio= -0.322051, cumret= -0.178700, maxDrawdown= -0.432567, maxDrawdownDuration= 350 
symbol= 159942, sharpRatio= -0.789126, cumret= -0.406000, maxDrawdown= -0.496109, maxDrawdownDuration= 342 
symbol= 159943, sharpRatio= -0.440213, cumret= -0.248000, maxDrawdown= -0.380857, maxDrawdownDuration= 337 
symbol= 159944, sharpRatio= -0.060816, cumret= -0.110200, maxDrawdown= -0.385913, maxDrawdownDuration= 333 
symbol= 159945, sharpRatio= -0.463087, cumret= -0.266000, maxDrawdown= -0.449327, maxDrawdownDuration= 333 
symbol= 159946, sharpRatio= 0.075979, cumret= 0.006100, maxDrawdown= -0.302065, maxDrawdownDuration= 318 
symbol= 510010, sharpRatio= 0.596779, cumret= 0.658055, maxDrawdown= -0.480565, maxDrawdownDuration= 350 
symbol= 510020, sharpRatio= 0.535935, cumret= 0.561223, maxDrawdown= -0.452122, maxDrawdownDuration= 349 
symbol= 510030, sharpRatio= 0.749027, cumret= 0.875171, maxDrawdown= -0.395274, maxDrawdownDuration= 350 
symbol= 510050, sharpRatio= 0.535613, cumret= 0.523925, maxDrawdown= -0.402876, maxDrawdownDuration= 350 
symbol= 510060, sharpRatio= 0.582246, cumret= 0.638126, maxDrawdown= -0.500745, maxDrawdownDuration= 350 
symbol= 510070, sharpRatio= 0.557235, cumret= 0.577434, maxDrawdown= -0.493228, maxDrawdownDuration= 346 
symbol= 510090, sharpRatio= 0.672249, cumret= 0.766406, maxDrawdown= -0.431319, maxDrawdownDuration= 350 
symbol= 510110, sharpRatio= 0.576613, cumret= 0.636245, maxDrawdown= -0.427042, maxDrawdownDuration= 350 
symbol= 510120, sharpRatio= 0.538619, cumret= 0.582511, maxDrawdown= -0.540327, maxDrawdownDuration= 350 
symbol= 510130, sharpRatio= 0.590000, cumret= 0.667472, maxDrawdown= -0.520847, maxDrawdownDuration= 346 
symbol= 510150, sharpRatio= 0.521074, cumret= 0.542515, maxDrawdown= -0.464416, maxDrawdownDuration= 346 
symbol= 510160, sharpRatio= 0.647616, cumret= 0.774806, maxDrawdown= -0.526940, maxDrawdownDuration= 350 
symbol= 510170, sharpRatio= 0.286551, cumret= 0.247289, maxDrawdown= -0.553479, maxDrawdownDuration= 346 
symbol= 510180, sharpRatio= 0.579993, cumret= 0.594170, maxDrawdown= -0.447045, maxDrawdownDuration= 350 
symbol= 510190, sharpRatio= 0.627478, cumret= 0.690958, maxDrawdown= -0.486836, maxDrawdownDuration= 346 
symbol= 510210, sharpRatio= 0.654464, cumret= 0.709091, maxDrawdown= -0.471857, maxDrawdownDuration= 346 
symbol= 510220, sharpRatio= 0.616573, cumret= 0.742236, maxDrawdown= -0.536511, maxDrawdownDuration= 346 
symbol= 510230, sharpRatio= 0.670897, cumret= 0.818062, maxDrawdown= -0.433431, maxDrawdownDuration= 350 
symbol= 510260, sharpRatio= 0.552412, cumret= 0.634807, maxDrawdown= -0.559529, maxDrawdownDuration= 346 
symbol= 510270, sharpRatio= 0.568048, cumret= 0.608108, maxDrawdown= -0.476857, maxDrawdownDuration= 350 
symbol= 510280, sharpRatio= 0.569100, cumret= 0.603881, maxDrawdown= -0.423256, maxDrawdownDuration= 350 
