symbol= 159901, sharpRatio= -0.086283, cumret= -0.017151, maxDrawdown= -0.189871, maxDrawdownDuration= 207 
symbol= 159902, sharpRatio= -0.299788, cumret= -0.072522, maxDrawdown= -0.218900, maxDrawdownDuration= 207 
symbol= 159903, sharpRatio= -0.198021, cumret= -0.053881, maxDrawdown= -0.219571, maxDrawdownDuration= 207 
symbol= 159905, sharpRatio= 0.264816, cumret= 0.053851, maxDrawdown= -0.155765, maxDrawdownDuration= 148 
symbol= 159906, sharpRatio= -0.226475, cumret= -0.058317, maxDrawdown= -0.189343, maxDrawdownDuration= 207 
symbol= 159907, sharpRatio= -0.170668, cumret= -0.054615, maxDrawdown= -0.240761, maxDrawdownDuration= 207 
symbol= 159908, sharpRatio= 0.163280, cumret= 0.034914, maxDrawdown= -0.174420, maxDrawdownDuration= 205 
symbol= 159909, sharpRatio= -0.378684, cumret= -0.105203, maxDrawdown= -0.237850, maxDrawdownDuration= 208 
symbol= 159910, sharpRatio= 0.265847, cumret= 0.054616, maxDrawdown= -0.163739, maxDrawdownDuration= 204 
symbol= 159911, sharpRatio= -0.275998, cumret= -0.074160, maxDrawdown= -0.220262, maxDrawdownDuration= 207 
symbol= 159912, sharpRatio= -0.224196, cumret= -0.055408, maxDrawdown= -0.211842, maxDrawdownDuration= 207 
symbol= 159913, sharpRatio= 0.121055, cumret= 0.026189, maxDrawdown= -0.184688, maxDrawdownDuration= 205 
symbol= 159915, sharpRatio= -0.338985, cumret= -0.116331, maxDrawdown= -0.240926, maxDrawdownDuration= 208 
symbol= 159916, sharpRatio= 0.322111, cumret= 0.064203, maxDrawdown= -0.150790, maxDrawdownDuration= 192 
symbol= 159917, sharpRatio= 5.527479, cumret= 0.243590, maxDrawdown= -0.589744, maxDrawdownDuration= 2 
symbol= 159918, sharpRatio= -0.187756, cumret= -0.071517, maxDrawdown= -0.264876, maxDrawdownDuration= 208 
symbol= 159919, sharpRatio= 0.030424, cumret= 0.009999, maxDrawdown= -0.193420, maxDrawdownDuration= 207 
symbol= 159920, sharpRatio= 0.676707, cumret= 0.125394, maxDrawdown= -0.128362, maxDrawdownDuration= 65 
symbol= 159921, sharpRatio= -0.373139, cumret= -0.088120, maxDrawdown= -0.217028, maxDrawdownDuration= 207 
symbol= 159922, sharpRatio= -0.080924, cumret= -0.032853, maxDrawdown= -0.244871, maxDrawdownDuration= 207 
symbol= 159923, sharpRatio= 0.111752, cumret= 0.027451, maxDrawdown= -0.171144, maxDrawdownDuration= 205 
symbol= 159924, sharpRatio= -0.117341, cumret= -0.027027, maxDrawdown= -0.214003, maxDrawdownDuration= 207 
symbol= 159925, sharpRatio= 0.061726, cumret= 0.015739, maxDrawdown= -0.194203, maxDrawdownDuration= 207 
symbol= 159927, sharpRatio= -0.100412, cumret= -0.013692, maxDrawdown= -0.193856, maxDrawdownDuration= 207 
symbol= 159928, sharpRatio= 0.499195, cumret= 0.104730, maxDrawdown= -0.178360, maxDrawdownDuration= 99 
symbol= 159929, sharpRatio= -0.038424, cumret= -0.012638, maxDrawdown= -0.207321, maxDrawdownDuration= 207 
symbol= 159930, sharpRatio= 0.171426, cumret= 0.031820, maxDrawdown= -0.189581, maxDrawdownDuration= 207 
symbol= 159931, sharpRatio= 0.021267, cumret= 0.010475, maxDrawdown= -0.177867, maxDrawdownDuration= 207 
symbol= 159932, sharpRatio= -0.136805, cumret= -0.049209, maxDrawdown= -0.242283, maxDrawdownDuration= 207 
symbol= 159933, sharpRatio= 0.244607, cumret= 0.050006, maxDrawdown= -0.168035, maxDrawdownDuration= 148 
symbol= 159935, sharpRatio= -0.161101, cumret= -0.052395, maxDrawdown= -0.247135, maxDrawdownDuration= 207 
symbol= 159936, sharpRatio= -0.201611, cumret= -0.055184, maxDrawdown= -0.247521, maxDrawdownDuration= 207 
